Date,NVDA
20210706,20.659381866455078
20210707,20.333250045776367
20210708,19.865135192871094
20210709,20.012357711791992
20210712,20.473735809326172
20210713,20.21173095703125
20210714,19.804004669189453
20210715,18.930408477783203
20210716,18.126678466796875
20210719,18.744264602661133
20210720,18.576826095581055
20210721,19.37331771850586
20210722,19.556970596313477
20210723,19.521039962768555
20210726,19.257539749145508
20210727,19.17169952392578
20210728,19.466140747070312
20210729,19.624847412109375
20210730,19.4621524810791
20210802,19.712675094604492
20210803,19.777551651000977
20210804,20.235689163208008
20210805,20.597999572753906
20210806,20.327512741088867
20210809,20.25664520263672
20210810,19.8983211517334
20210811,19.661773681640625
20210812,19.867382049560547
20210813,20.14984703063965
20210816,19.91229820251465
20210817,19.42122459411621
20210818,19.004016876220703
20210819,19.760589599609375
20210820,20.776660919189453
20210823,21.9165096282959
20210824,21.751815795898438
20210825,22.1710205078125
20210826,22.026296615600586
20210827,22.59322166442871
20210830,22.645124435424805
20210831,22.346635818481445
20210901,22.40254020690918
20210902,22.35761833190918
20210903,22.80385398864746
20210907,22.623159408569336
20210908,22.30071449279785
20210909,22.13899040222168
20210910,22.439476013183594
20210913,22.11403465270996
20210914,22.203882217407227
20210915,22.302711486816406
20210916,22.203882217407227
20210917,21.862468719482422
20210920,21.076814651489258
20210921,21.209585189819336
