Date,AMD,INTC,QCOM
20201125,86.70999908447266,42.534385681152344,132.38536071777344
20201127,87.19000244140625,42.895999908447266,132.15560913085938
20201130,92.66000366210938,43.70962142944336,135.2245635986328
20201201,92.62999725341797,44.80348587036133,138.98257446289062
20201202,93.73999786376953,45.11086654663086,138.4011993408203
20201203,92.30999755859375,46.096256256103516,138.3365936279297
20201204,94.04000091552734,47.000274658203125,145.45138549804688
20201207,94.06999969482422,45.3820686340332,145.8205108642578
20201208,92.91999816894531,45.825042724609375,146.54029846191406
20201209,89.83000183105469,45.26454544067383,143.9748992919922
20201210,91.66000366210938,45.436309814453125,143.7257537841797
20201211,91.6500015258789,44.957183837890625,133.1412353515625
20201214,94.77999877929688,45.62615203857422,134.99607849121094
20201215,97.12000274658203,45.80696105957031,136.9062957763672
20201216,96.8499984741211,46.213775634765625,138.17970275878906
20201217,96.83999633789062,45.78888702392578,137.98597717285156
20201218,95.91999816894531,42.9050407409668,136.03884887695312
20201221,93.2300033569336,41.910614013671875,135.4667205810547
20201222,93.16000366210938,41.73884201049805,135.042236328125
20201223,91.55000305175781,42.1004524230957,135.6143341064453
20201224,91.80999755859375,42.55247497558594,137.30308532714844
20201228,91.5999984741211,42.55247497558594,136.33413696289062
20201229,90.62000274658203,44.649810791015625,137.0262451171875
20201230,92.29000091552734,44.07122802734375,138.37351989746094
20201231,91.70999908447266,45.03853988647461,140.5790252685547
20210104,92.30000305175781,44.90293502807617,137.0354461669922
20210105,92.7699966430664,45.752723693847656,140.66204833984375
20210106,90.33000183105469,46.19569778442383,139.51780700683594
20210107,95.16000366210938,47.18107604980469,143.6795654296875
20210108,94.58000183105469,46.69291305541992,144.5470428466797
20210111,97.25,46.59346389770508,144.05795288085938
20210112,95.36000061035156,48.13030242919922,142.526123046875
20210113,91.77999877929688,51.48423767089844,145.266845703125
20210114,90.79000091552734,53.56349563598633,148.43203735351562
20210115,88.20999908447266,52.05378341674805,144.96231079101562
20210119,89.44999694824219,52.42443084716797,151.1265869140625
20210120,88.75,53.03916931152344,151.89251708984375
20210121,91.52999877929688,56.465415954589844,152.03091430664062
20210122,92.79000091552734,51.222068786621094,149.8808135986328
20210125,94.12999725341797,50.11916732788086,151.70797729492188
20210126,94.70999908447266,49.91123580932617,150.0008087158203
20210127,88.83999633789062,48.446712493896484,141.80630493164062
20210128,87.5199966430664,50.68870162963867,143.54116821289062
20210129,85.63999938964844,50.18244934082031,144.2147979736328
20210201,87.66000366210938,51.24918746948242,149.10568237304688
20210202,88.86000061035156,52.433467864990234,152.05862426757812
20210203,87.88999938964844,52.1441764831543,149.7700958251953
20210204,87.83999633789062,53.470245361328125,136.54637145996094
20210205,87.9000015258789,52.915443420410156,134.580810546875
20210208,91.47000122070312,53.80677032470703,136.00192260742188
20210209,90.91000366210938,53.461151123046875,134.82998657226562
20210210,92.3499984741211,53.53391647338867,134.26708984375
20210211,92.66000366210938,55.17103576660156,134.32244873046875
20210212,93.7699966430664,56.21697998046875,136.5556182861328
