date,BTC-USD
20211213,46737.48046875
20211214,46612.6328125
20211215,48896.72265625
20211216,47665.42578125
20211217,46202.14453125
20211220,46880.27734375
20211221,48936.61328125
20211222,48628.51171875
20211223,50784.5390625
20211224,50822.1953125
20211227,50640.41796875
20211228,47588.85546875
20211229,46444.7109375
20211230,47178.125
20211231,46306.4453125
20220103,46458.1171875
20220104,45897.57421875
20220105,43569.00390625
20220106,43160.9296875
20220107,41557.90234375
20220110,41821.26171875
20220111,42735.85546875
20220112,43949.1015625
20220113,42591.5703125
20220114,43099.69921875
20220117,42250.55078125
20220118,42375.6328125
20220119,41744.328125
20220120,40680.41796875
20220121,36457.31640625
20220124,36654.328125
20220125,36954.00390625
20220126,36852.12109375
20220127,37138.234375
20220128,37784.33203125
20220131,38483.125
20220201,38743.2734375
20220202,36952.984375
20220203,37154.6015625
20220204,41500.875
20220207,43840.28515625
20220208,44118.4453125
20220209,44338.796875
20220210,43565.11328125
20220211,42407.9375
20220214,42586.91796875
20220215,44575.203125
20220216,43961.859375
20220217,40538.01171875
20220218,40030.9765625
20220221,37075.28125
20220222,38286.02734375
20220223,37296.5703125
20220224,38332.609375
20220225,39214.21875
20220228,43193.234375
20220301,44354.63671875
20220302,43924.1171875
20220303,42451.7890625
20220304,39137.60546875
20220307,38062.0390625
20220308,38737.26953125
20220309,41982.92578125
20220310,39437.4609375
20220311,38794.97265625
20220314,39666.75390625
20220315,39338.78515625
20220316,41143.9296875
20220317,40951.37890625
20220318,41801.15625
20220321,41077.99609375
20220322,42358.80859375
20220323,42892.95703125
20220324,43960.93359375
20220325,44348.73046875
20220328,47128.00390625
20220329,47465.73046875
20220330,47062.6640625
20220331,45538.67578125
20220401,46281.64453125
20220404,46622.67578125
20220405,45555.9921875
20220406,43206.73828125
20220407,43503.84765625
20220408,42287.6640625
20220411,39521.90234375
20220412,40127.18359375
20220413,41166.73046875
20220414,39935.515625
20220415,40553.46484375
20220418,40826.21484375
20220419,41502.75
20220420,41374.37890625
20220421,40527.36328125
20220422,39740.3203125
20220425,40458.30859375
20220426,38117.4609375
20220427,39241.12109375
20220428,39773.828125
20220429,38609.82421875
20220502,38529.328125
20220503,37750.453125
20220504,39698.37109375
20220505,36575.140625
20220506,36040.921875
20220509,30296.953125
