,Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA,MACD,MACD_Signal,OBV,RSI
149,240408,87.11839294433594,87.75932973225912,85.79914556763606,167.84268188476562,169.89999389648438,132.75047302246094,37.58791732788086,172.02239990234375,-0.428431,0.01,0.54,0.14,-0.24,0.1,0.021,71607.88,3699.13,5202.39,16253.96,38892.8,2.066832450662858,3.3833200078176877,1750.9050483703613,42.43220937277292
150,240409,85.33968353271484,87.96815134684245,85.76950285570567,169.0582733154297,170.77999877929688,132.54977416992188,37.93430709838867,173.9544677734375,-0.431088,0.14,0.31,-0.33,-0.17,0.05,0.021,69100.81,3502.0,5209.91,16306.64,38883.67,1.6327319861922547,3.0332024034926013,1665.5653648376465,46.72727272727273
151,240410,87.02440643310547,88.24616114298503,85.85046437682823,167.1750946044922,167.13999938964844,131.3863067626953,36.81596755981445,169.2877960205078,-0.432312,-1.01,-1.56,-1.04,0.37,-0.45,0.021,70554.77,3540.47,5160.64,16170.36,38461.51,1.4084120019664965,2.7082443231873805,1752.589771270752,51.908276388242356
152,240411,90.6008071899414,88.67797673543295,86.1569381067065,174.40892028808594,170.5,137.35665893554688,37.24153137207031,173.5185089111328,-0.432103,0.72,0.05,-0.62,0.14,-0.54,0.021,70001.36,3502.38,5199.06,16442.2,38459.08,1.5019087652098193,2.4669772115918684,1843.1905708312988,47.87952914077098
153,240412,88.17121124267578,88.98051630655924,86.28689121225291,175.91348266601562,163.27999877929688,133.54234313964844,35.321556091308594,169.71383666992188,-0.430461,-1.53,-0.38,0.13,0.67,-0.22,0.021,67107.27,3232.53,5123.41,16175.09,37983.24,1.3642321325336866,2.2464281957802323,1755.019359588623,45.776535102785466
154,240415,85.98657989501953,89.10469080607096,86.26751628856043,172.0673828125,160.32000732421875,130.22581481933594,35.935157775878906,168.27719116210938,-0.417106,-1.29,-0.24,0.75,0.84,0.42,0.021,63359.28,3096.84,5061.82,15885.02,37735.11,1.0665464338144943,2.010451843387085,1669.0327796936035,46.88911401263364
155,240416,87.40034484863281,89.17741216023764,86.3406020021135,168.7693328857422,163.4600067138672,132.05099487304688,35.88566970825195,167.02877807617188,-0.410074,-0.23,-0.28,-0.82,0.04,-0.26,0.021,63840.0,3084.8,5051.41,15865.25,37798.97,0.9339414931254169,1.7951497733347512,1756.4331245422363,49.35150096884362
156,240417,84.02091217041016,89.11312306722006,86.1909445936165,167.39430236816406,154.02000427246094,127.4378662109375,35.31166076660156,162.8079833984375,-0.401776,-0.64,-0.37,0.55,-0.32,0.54,0.021,61267.8,2985.84,5022.21,15683.37,37753.31,0.5498211522358645,1.5460840491149739,1672.4122123718262,43.73902488323654
157,240418,84.65680694580078,88.97884572347006,86.09196797117679,166.43775939941406,155.0800018310547,125.08908081054688,34.67826843261719,159.95448303222656,-0.39221,-0.27,-0.1,0.86,-0.03,0.29,0.021,63447.36,3062.23,5011.12,15601.5,37775.38,0.29333243922823726,1.2955337271376268,1757.0690116882324,43.24538863317131
158,240419,76.18722534179688,88.42997131347656,85.4529523176684,164.40512084960938,146.63999938964844,119.6959991455078,33.84694290161133,156.17955017089844,-0.381372,-0.82,1.25,1.9,-0.1,1.3,0.021,63836.5,3057.27,4967.23,15282.01,37986.4,-0.5865986067064597,0.9191072603688095,1680.8817863464355,33.322348045178444
159,240422,79.50466918945312,88.16301600138347,85.06919211584807,165.24208068847656,148.63999938964844,121.65828704833984,34.054771423339844,158.7060546875,-0.340949,0.87,-0.12,0.55,-0.23,0.0,0.021,66828.83,3200.23,5010.6,15451.31,38239.98,-1.0046789926632727,0.5343500097623931,1760.3864555358887,36.682833720270466
160,240423,82.4091796875,88.05133463541667,84.89757841079336,166.29824829101562,152.27000427246094,124.1153793334961,33.92611312866211,159.8653106689453,-0.324512,1.27,0.58,-0.01,-0.16,-0.63,0.021,66472.3,3221.28,5070.55,15696.64,38503.69,-1.089086674207877,0.2096626729683391,1842.7956352233887,36.75491724889587
161,240424,79.66364288330078,87.64353612263997,84.55990515095513,168.41062927246094,151.74000549316406,124.87347412109376,34.14384078979492,162.12432861328125,-0.306546,-0.01,-0.3,0.28,0.23,-0.02,0.021,64198.5,3135.53,5071.63,15712.75,38460.92,-1.361823985448666,-0.10463465871506192,1763.131992340088,33.63658095852823
162,240425,82.61814880371094,87.36838226318359,84.43463054790712,169.27749633789062,153.75999450683594,128.60928344726562,34.74754333496094,161.79736328125,-0.287043,-0.48,-0.39,-0.2,0.4,-0.09,0.021,64510.14,3156.67,5048.42,15611.76,38085.8,-1.3243006204285166,-0.34856785105775284,1845.7501411437988,39.51332349780522
163,240426,87.72029113769531,87.36141688028971,84.6466086504741,168.6896209716797,157.39999389648438,133.54234313964844,31.55088996887207,164.13565063476562,-0.265995,1.04,0.22,-1.09,0.01,-0.45,0.021,63747.32,3130.88,5099.96,15927.9,38239.66,-0.8728023309961372,-0.4534147470454297,1933.4704246520996,47.49167000130443
164,240429,87.7422866821289,87.35875091552734,84.84632981380669,172.8744659423828,160.1999969482422,133.0008544921875,31.036256790161133,167.64306640625,-0.19249,0.34,0.34,-0.49,0.22,-0.12,0.021,63804.4,3213.68,5116.17,15983.08,38386.09,-0.5073626506967628,-0.4642043277756963,2021.2127113342285,47.403543967064095
165,240430,86.38751220703125,87.29032897949219,84.94576093595022,169.71591186523438,158.3800048828125,129.19052124023438,30.155445098876957,164.3238983154297,-0.163157,-1.67,-0.27,-0.26,-0.61,0.63,0.021,60690.8,3014.19,5035.69,15657.82,37815.92,-0.32334077781250414,-0.4360316177830579,1934.8251991271973,46.14666271352848
166,240501,83.0270767211914,87.07846425374349,84.82197485757868,168.6896209716797,144.27000427246094,123.48645782470705,30.05647850036621,162.5998992919922,-0.13122,-0.27,1.0,-0.03,-1.43,-0.02,0.02,58278.09,2968.37,5018.39,15605.48,37903.29,-0.4435482292344233,-0.437534940073331,1851.7981224060059,44.04701947808096
167,240502,85.8026123046875,86.92665634155273,84.88524178965022,172.40615844726562,146.16000366210938,123.06021881103516,30.195032119750977,178.44277954101562,-0.0998071,1.01,0.7,0.02,0.03,-0.77,0.02,59071.21,2987.28,5064.2,15840.96,38225.66,-0.3112629297649079,-0.41228053801164644,1937.6007347106934,47.196938432067896
168,240503,88.77411651611328,86.83847122192383,85.136136933293,182.7188415527344,150.60000610351562,126.98876953125,30.58100700378418,177.9870147705078,-0.0689046,1.19,-0.04,-0.22,0.42,-0.55,0.02,62855.86,3100.74,5127.79,16156.33,38675.68,0.0329696257710026,-0.32323050525511665,2026.3748512268066,52.57279998300906
169,240506,92.12454986572266,86.76684977213542,85.58700228377234,181.0548858642578,155.77999877929688,130.1880645751953,30.774776458740234,180.1766815185547,0.0194696,1.09,-0.02,-0.05,-0.24,-0.69,0.02,63145.67,3062.88,5180.74,16349.25,38852.27,0.5695628111224238,-0.14467184197960858,2118.4994010925293,53.60583274734173
170,240507,90.538818359375,86.61860809326171,85.90647428864993,181.74237060546875,154.42999267578125,129.4727020263672,30.48660469055176,178.4923095703125,0.0456701,0.05,0.04,-0.65,0.14,0.2,0.02,62344.02,3012.07,5187.7,16332.56,38884.26,0.8569827329156396,0.055659072999441075,2027.9605827331543,52.94878223834936
171,240508,90.39684295654295,86.54698689778645,86.19617549303013,182.08116149902344,153.6199951171875,131.6843719482422,29.81089210510254,178.88864135742188,0.070028,-0.09,-0.41,0.59,0.72,0.16,0.02,61156.89,2975.87,5187.67,16302.76,39056.39,1.061077423178233,0.25674274303519945,1937.5637397766113,54.486437915088175
172,240509,88.73212432861328,86.49689559936523,86.35978509532582,183.90457153320312,152.38999938964844,129.72705078125,29.90032386779785,178.8787078857422,0.0925529,0.52,0.51,0.39,0.02,0.08,0.02,63088.62,3037.21,5214.08,16346.26,39387.76,1.0760905529431142,0.4206123050167824,1848.831615447998,51.51553273107619
173,240510,89.86292266845703,86.48096466064453,86.58579397101171,182.63742065429688,151.9199981689453,132.42259216308594,29.66183853149414,180.4045562744141,0.113254,0.08,-0.91,0.01,0.49,-0.06,0.02,60801.1,2909.26,5222.68,16340.87,39512.84,1.1657959717157524,0.5696490383565764,1938.694538116455,49.315448573529736
174,240513,90.38385009765624,86.4821647644043,86.83082985015008,185.8601531982422,150.55999755859375,132.89056396484375,30.317676544189453,182.5149688720703,0.164582,-0.04,0.25,-0.26,0.13,0.24,0.02,62909.03,2949.84,5221.42,16388.24,39431.51,1.2643480352291192,0.7085888377310849,2029.0783882141113,52.12809969205789
175,240514,91.34069061279295,86.54562098185221,87.12178860903028,187.00755310058597,153.16000366210938,137.11521911621094,30.854272842407227,187.2311553955078,0.178246,0.57,0.51,0.04,-0.16,-0.02,0.02,61558.14,2883.05,5246.68,16511.18,39558.11,1.4034812150753737,0.8475673131999426,2120.4190711975098,55.27409911870005
