Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA
231003,43.50383377075195,45.151295852661136,44.19651694029509,171.3337860107422,100.08000183105469,80.24650573730469,35.102901458740234,107.93785858154297,-0.281272,-1.5,-0.26,-0.15,0.3,0.14,0.021,27421.92,1657.34,4229.45,13059.47,33002.38
231004,44.027679443359375,45.09720446268717,44.1856244446668,172.5860137939453,104.06999969482422,81.13086700439453,35.33895492553711,107.60480499267578,-0.299557,0.77,-0.53,-0.37,-0.39,-0.33,0.021,27782.29,1646.37,4263.75,13236.01,33129.55
231005,44.67448043823242,45.016424814860024,44.21716378713538,173.82826232910156,102.91000366210938,81.13579559326172,35.29960632324219,107.55582427978516,-0.316507,-0.15,0.28,0.09,-0.46,-0.12,0.021,27419.39,1612.3,4258.19,13219.83,33119.57
231006,45.7481575012207,44.9698683420817,44.315937575140886,176.392333984375,107.23999786376953,83.24331665039062,35.59467697143555,108.6137466430664,-0.332131,1.21,-0.44,-0.55,-0.31,-0.52,0.021,27949.12,1646.04,4308.5,13431.34,33407.58
231009,45.25930404663086,44.945168813069664,44.37679992814024,177.88304138183594,106.97000122070312,84.2892074584961,35.46681594848633,109.51496124267578,-0.371293,0.59,-0.16,0.26,0.82,-0.37,0.021,27587.43,1579.69,4335.66,13484.24,33604.65
231010,45.784149169921875,44.91074104309082,44.46759640730698,177.28675842285156,109.01000213623047,84.53836822509766,35.83073425292969,110.01451873779297,-0.382056,0.61,0.33,0.62,-0.24,0.19,0.021,27391.73,1567.45,4358.24,13562.84,33739.3
231011,46.791839599609375,44.84496154785156,44.61754782711341,178.6880340576172,108.30999755859375,86.12886047363281,36.27332305908203,108.84883880615234,-0.391713,0.32,-0.65,0.38,0.64,-0.25,0.021,26851.85,1565.08,4376.95,13659.68,33804.87
231012,46.93080139160156,44.76781984965007,44.76678974645476,179.59239196777344,108.79000091552734,89.18575286865234,36.233985900878906,109.18189239501953,-0.400269,-0.81,-1.5,0.11,1.19,-0.22,0.021,26745.5,1539.26,4349.61,13574.22,33631.14
231013,45.44724655151367,44.63819440205892,44.81069018549083,177.74392700195312,105.08999633789062,86.97777557373047,35.3782958984375,106.43913269042969,-0.407727,-0.59,-0.35,0.05,0.08,0.46,0.021,26859.1,1551.48,4327.78,13407.23,33670.29
231016,46.08106231689453,44.557885360717776,44.89264967783945,177.61471557617188,106.45999908447266,88.88736724853516,35.95859146118164,108.25130462646484,-0.422652,1.14,0.58,-0.1,-0.36,-0.02,0.021,28534.29,1600.62,4373.63,13567.98,33984.54
231017,43.92470932006836,44.404398345947264,44.83020191282196,176.05441284179688,105.13999938964844,87.0979232788086,35.46681594848633,109.90676879882812,-0.423971,0.09,1.05,0.68,-0.1,0.32,0.021,28408.19,1565.57,4373.2,13533.75,33997.65
231018,42.1832389831543,44.24228083292643,44.65943011090792,174.75253295898438,102.16999816894531,87.35693359375,35.0537223815918,108.71170806884766,-0.423316,-1.47,-0.61,-0.17,0.87,0.46,0.021,28309.35,1562.14,4314.6,13314.3,33665.08
231019,42.0882682800293,44.10432268778483,44.49354870246414,174.37486267089844,102.4000015258789,85.46607208251953,35.083229064941406,109.00556945800781,-0.420687,-0.92,-0.54,-0.22,-0.05,0.01,0.021,28734.51,1567.78,4278.0,13186.18,33414.17
231020,41.374481201171875,43.964864857991536,44.292318541090445,171.81085205078125,101.80999755859375,84.06761932373047,34.3455696105957,106.40974426269531,-0.416083,-1.32,0.09,-0.15,0.2,0.36,0.021,29686.66,1605.03,4224.16,12983.81,33127.28
231023,42.962005615234375,43.89145380655925,44.206491900712635,171.9300994873047,100.01000213623047,84.91358947753906,33.29317092895508,106.43913269042969,-0.390738,-0.23,-0.58,-0.77,0.18,-0.43,0.021,33106.86,1766.77,4217.04,13018.33,32936.41
231024,43.6497917175293,43.8512326558431,44.1705757598621,172.3673858642578,101.66999816894531,86.77391815185547,34.020999908447266,107.15420532226562,-0.378888,0.71,0.09,-0.58,-0.91,0.15,0.021,33919.92,1784.81,4247.68,13139.87,33141.38
231025,41.766361236572266,43.72773653666179,44.01546514545631,170.04185485839844,96.05999755859375,83.6736831665039,32.289947509765625,102.63842010498047,-0.365386,-1.58,-0.02,0.85,1.48,0.21,0.021,34489.91,1787.24,4186.77,12821.22,33035.93
231026,40.313804626464844,43.55262273152669,43.77664833777944,165.85787963867188,93.66999816894531,81.42041015625,31.985048294067383,103.46125793457031,-0.350228,-1.15,1.18,1.68,-0.76,0.47,0.021,34140.0,1803.2,4137.23,12595.61,32784.3
231027,40.48775100708008,43.43932367960612,43.5644614132182,167.1796417236328,96.43000030517578,82.56379699707031,34.95536422729492,104.28408813476562,-0.333407,-0.53,-0.58,-0.58,0.43,-0.96,0.021,33905.16,1779.85,4117.37,12643.01,32417.59
231030,41.1485481262207,43.34585189819336,43.408596039863525,169.23683166503906,96.18000030517578,82.8484115600586,35.102901458740234,105.6260986328125,-0.273015,1.15,-0.33,0.28,-0.15,0.17,0.021,34485.49,1809.43,4166.82,12789.48,32928.96
231031,40.76766586303711,43.2545462290446,43.23821344781021,169.7138671875,98.5,82.8602294921875,35.899574279785156,106.76238250732422,-0.249702,0.63,0.05,-0.07,-0.85,0.06,0.021,34667.88,1815.73,4193.8,12851.24,33052.87
231101,42.31220245361328,43.257412083943684,43.178470803023316,172.89410400390625,108.04000091552734,83.99967193603516,36.67658233642578,108.6235580444336,-0.224803,0.93,-0.68,-0.02,0.12,-0.71,0.021,35469.43,1848.91,4237.86,13061.47,33274.58
231102,43.49283981323242,43.340353647867836,43.19875267464972,176.47183227539062,107.83000183105469,85.80780029296875,37.07984161376953,114.96131134033203,-0.200912,1.95,0.71,1.64,-0.23,0.53,0.021,34935.25,1801.48,4317.78,13294.19,33839.08
231103,44.991390228271484,43.45348625183105,43.31440671036726,175.55751037597656,112.25,86.92853546142578,37.512596130371094,117.07715606689453,-0.178019,1.1,1.73,0.6,-1.19,0.18,0.021,34735.91,1834.86,4358.34,13478.28,34061.32
231106,45.737159729003906,43.571084086100264,43.47071360284041,178.12155151367188,111.75,86.74635314941406,37.44845962524414,117.47879028320312,-0.114684,0.01,-1.22,-0.66,0.87,-0.2,0.021,35063.96,1901.98,4365.98,13518.78,34095.86
231107,45.941104888916016,43.70584348042806,43.63009368581304,180.695556640625,113.44999694824219,88.41956329345703,38.25762176513672,118.25263214111328,-0.0945845,0.35,-0.41,-1.2,-1.26,-0.05,0.021,35420.95,1886.39,4378.38,13639.86,34152.6
231108,46.559913635253906,43.842668787638345,43.819114327712455,181.75892639160156,113.58999633789062,89.73035430908203,37.418853759765625,117.60610961914062,-0.0748851,-0.04,-1.01,-0.46,0.45,0.04,0.021,35581.68,1888.43,4382.78,13650.41,34112.27
231109,46.93579864501953,43.971329879760745,44.02019073528066,181.2819061279297,113.48999786376953,89.75498962402344,37.30044174194336,117.64530181884766,-0.055578,-0.89,-1.01,0.5,0.53,-0.3,0.021,36669.3,2121.15,4347.35,13521.45,33891.94
231110,48.32038116455078,44.13248112996419,44.29762237587874,185.49127197265625,118.58999633789062,94.2989730834961,38.346431732177734,121.67130279541016,-0.0366556,1.49,-0.61,-0.45,0.74,-0.37,0.021,37305.81,2077.74,4415.24,13798.11,34283.1
231113,48.60529327392578,44.260375595092775,44.57553638125615,183.89906311035156,116.79000091552734,93.25603485107422,37.72475814819336,121.31865692138672,0.0166902,-0.05,0.06,-0.26,-0.29,-0.17,0.021,36470.45,2057.4,4411.55,13767.74,34337.87
231114,49.6409797668457,44.4649471282959,44.90233918032644,186.52621459960938,119.87999725341797,95.81952667236328,38.889163970947266,124.75691986083984,0.0317739,2.18,3.23,1.19,-0.98,-0.24,0.021,35552.8,1980.17,4495.7,14094.38,34827.7
231115,48.87321472167969,44.62646484375,45.15852469912343,187.09341430664062,118.0,96.0598373413086,40.07330322265625,126.28504180908203,0.0453212,0.18,0.13,0.5,-0.13,0.5,0.021,37876.32,2058.25,4502.88,14103.84,34991.21
