NVDA,AMD,RSI,RF,CBBTCUSD,DJIA,MACD_Signal,ADS_Index
-1.2515947206727684,-1.8118787972558896,-1.5868991874992349,-0.2865635382699905,-1.6692762901247904,-1.5500830793669709,-0.8287131883355487,0.4420400392205713
-1.232114562126005,-1.8086971327747103,-1.8350800371560012,-0.2865635382699905,-1.6682465533423485,-1.5962283155577068,-0.8831496368884576,0.3758257994054452
-1.212009853088354,-1.7669802679916016,-1.6680139041570796,-0.2865635382699905,-1.6874295963878776,-1.577593572025625,-0.930228803446153,0.1605872807353458
-1.2222263056787517,-1.8171818411152036,-1.5373623782082406,-0.2865635382699905,-1.6939228453426105,-1.7455833603724562,-0.9715681292286192,0.0831561908094801
-1.20392868121078,-1.7425864280731682,-1.614680238025282,-0.2865635382699905,-1.683740265647134,-1.7752889773272915,-1.0033656956313255,0.0028251528934332
-1.18352849535518,-1.5767795237677886,-2.057047338060325,-0.2865635382699905,-1.6378250140701949,-1.7250349187360117,-1.0232959191908797,-0.0804347498730959
-1.1700597919849571,-1.5746584141136697,-2.0828271800957467,-0.2865635382699905,-1.646922141107778,-1.7938068207489244,-1.031698731884104,-0.1666606963104943
-1.1279125374005952,-1.5587495522597443,-1.677879438631498,-0.2865635382699905,-1.6055165190643743,-1.825911054784795,-1.0243210123261075,-0.4347778250209289
-1.1694684622648617,-1.671526287696004,-1.7434654056314725,-0.2865635382699905,-1.6119070628511063,-2.0125052792276663,-1.0140841663444182,-0.5158524393447148
-1.1522545870931005,-1.5304668314927492,-1.599248806747854,-0.2865635382699905,-1.5877163037710162,-1.957445327206874,-0.9989088294351598,-0.5913874094308466
-1.1310004393860504,-1.5714764799084755,-1.1563569226352268,-0.2865635382699905,-1.6120768955798923,-1.9617663016597136,-0.9770735312600416,-0.6614075211595822
-1.0957189779138767,-1.4183970426998584,-0.7089882995844876,-0.2865635382699905,-1.5765174128052548,-1.837068520881953,-0.9454274692440192,-0.7259499533513091
-1.1117830383320408,-1.4279423058674103,-0.6682499365350856,-0.2865635382699905,-1.6007967802655811,-1.7517444291564117,-0.9116259880601716,-0.8877273937950111
-1.0945363184736856,-1.3558216106631855,-0.4545274101694183,-0.2865635382699905,-1.6139336439112055,-1.693445911112852,-0.8747901209293415,-0.9321891319977476
