,Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA,MACD,MACD_Signal,OBV,RSI
133,240314,87.9231948852539,77.64259834289551,78.4268570926394,172.3762664794922,187.05999755859372,124.88312530517578,42.30867385864258,166.0314483642578,-0.128559,-0.43,-1.46,-1.07,1.03,-0.1,0.021,71456.55,3885.42,5150.48,16128.53,38905.66,6.113718204815015,6.04080572221508,1555.254623413086,64.85091323301322
134,240315,87.81621551513672,78.46950098673503,79.03262215215535,171.9976348876953,191.05999755859372,122.23462677001952,42.199806213378906,164.7993927001953,-0.143771,-0.59,0.95,0.8,-0.09,0.42,0.021,69492.42,3743.28,5117.09,15973.17,38714.77,5.798910978083498,5.992426773388765,1467.4384078979492,63.50931564483159
135,240318,88.43407440185547,79.2125951131185,79.63916745858764,173.09368896484375,190.6499938964844,122.4067611694336,42.26908874511719,164.52340698242188,-0.188755,0.53,-1.04,-0.22,0.24,-0.11,0.021,67566.95,3518.83,5149.42,16103.45,38790.43,5.535470572284709,5.901035533167954,1555.8724822998047,65.49917499963695
136,240319,89.37686157226562,79.88141199747722,80.26740578850234,175.44517517089844,181.4199981689453,122.4829559326172,41.61589813232422,161.74391174316406,-0.203567,0.54,0.45,-0.24,0.49,0.08,0.021,61977.96,3163.75,5178.51,16166.79,39110.76,5.341197201594326,5.7890678668532285,1645.2493438720703,66.18323756408462
137,240320,90.35062408447266,80.61964391072591,80.91793600114559,178.0258331298828,179.72999572753906,126.77912902832033,41.76435089111328,165.2626495361328,-0.2183,1.03,1.04,1.01,-0.24,-0.06,0.021,67862.33,3515.04,5224.62,16369.41,39512.13,5.205799436909331,5.6724141808644495,1735.599967956543,71.05678519314952
138,240321,91.41336822509766,81.33078536987304,81.5950606607554,170.7521514892578,178.67999267578125,133.9328155517578,41.982078552246094,168.39700317382812,-0.232959,0.42,0.34,0.97,0.27,0.05,0.021,65505.11,3499.59,5241.53,16401.84,39781.37,5.125170527796769,5.562965450250914,1827.0133361816406,74.57260145654062
139,240322,94.26669311523438,82.15230026245118,82.41258582745692,171.65887451171875,179.64999389648438,134.47630310058594,42.13053131103516,167.65777587890625,-0.24755,-0.23,-0.99,-0.52,0.29,-0.36,0.021,63712.44,3329.97,5234.18,16428.82,39475.9,5.231209497682059,5.496614259737143,1921.2800369262695,69.42407177002161
140,240325,94.97952270507812,82.91453247070312,83.22335594859378,170.23403930664062,178.6300048828125,134.28851318359375,41.39817428588867,165.11480712890625,-0.290533,-0.26,-0.11,0.87,-0.22,-0.17,0.021,69914.45,3591.17,5218.19,16384.47,39313.64,5.31153682993363,5.459598773776441,2016.2595596313477,69.74782640912679
141,240326,92.53910064697266,83.59158503214518,83.82437173558597,169.09814453125,177.8699951171875,132.2924346923828,41.5565185546875,164.6712646484375,-0.304033,-0.26,0.11,-0.16,-0.52,0.21,0.021,69976.26,3586.44,5203.58,16315.7,39282.33,5.119263472162956,5.391531713453744,1923.720458984375,65.60982320828093
142,240327,90.22864532470705,84.19562149047852,84.23755067681958,172.68516540527344,179.58999633789062,131.024658203125,43.318145751953125,166.70169067382812,-0.317054,0.88,1.29,0.92,-0.15,0.58,0.021,69372.26,3497.26,5248.49,16399.52,39760.08,4.725972941396506,5.258419959042297,1833.491813659668,62.81508735289377
