,NVDA_Log_Return,AAPL_Log_Return,AMD_Log_Return,AVGO_Log_Return,INTC_Log_Return,QCOM_Log_Return,SP500_Log_Return,NASDAQCOM_Log_Return,DJIA_Log_Return,SMA,EMA,MACD,MACD_Signal,RSI,OBV
44,0.9647981453208829,-0.42409964996047456,1.308755585680979,0.3882422728402056,0.4202829423874456,0.7160349057642431,1.075910450097754,1.1708289887758527,0.8694098755511378,-0.20679639569629835,-0.2058863432953768,0.6157253111260443,0.17772913669426343,0.5282606153043024,0.29089725621647905
45,0.40891995001612785,0.9746517432815333,-0.18938799798524295,-0.17453340820271934,0.00838815519545295,0.07461434663265698,0.1066144563687858,0.18836379757718347,0.04216961871408136,-0.1897309607101309,-0.041561100454983756,0.6030268559851162,0.3467979134223303,-0.1920532904693236,0.26231757950009493
46,0.02661611038200172,0.9638496800761961,0.46717768914091673,0.6170363344928297,0.7226470499562232,0.2106174875286896,0.244982934980422,0.7289562005882327,0.1392410307089644,-0.12100211171754453,-0.031382717541325544,0.4903281695246627,0.44185623860798195,0.4221988849622121,0.23583178378730557
47,0.3113497325189779,0.3615816020780762,0.0018383443149774341,0.4531805921840514,-0.624463087229974,-0.31106968261070295,0.011324230177573006,-0.015141749673130894,-0.2860495714002217,-0.11429506814937151,0.08601192900139155,0.4690947646080185,0.5082754851408078,0.05639560471753767,0.21595751049900128
48,0.14112677119406175,-0.24180456381913112,-0.06911333595420315,-0.08596111955813222,-0.03672625228215501,-0.059249903579802185,-1.1522217605897418,-0.9531385937049598,-1.0782714895289278,-0.14913506220283668,0.13119517985502868,0.4068741557774583,0.5370248019353742,-0.37332114763265434,0.19795794914008455
50,0.07220391051984179,-0.6674419276039552,-0.5528871149849872,-0.5114115730654352,-0.4443168151035609,-0.19936288715200937,-0.22346240077297627,-0.28712896987333403,0.12930627661479904,-0.15564961875606703,0.4278001557167587,0.40844452513010454,0.6021428543320836,1.0511140436069935,0.17254989720625394
52,-0.6122057469698731,0.16048616153340062,-0.5700685724403912,-0.0026968739914006007,0.9892358091167109,0.4534918052698791,0.08676294899073242,-0.024480679663126274,0.5909625482685033,-0.025108535697007793,0.3278031152872473,0.19963580098481595,0.545133055832687,0.8917788281347985,-0.21073894540007798
54,-0.23272787578721665,-0.06265729948906189,0.18098994023855441,0.6045026096109865,0.38786899398366576,0.18462025610738592,0.046639640563501915,-0.009361572433554425,-0.10163317306237304,-0.20312508421310035,0.2849760808971569,0.1052817124643628,0.41770747784194023,-0.0586293253356643,-0.21219333697190865
55,0.5953151129706714,0.6007881380054692,0.21270558176309842,0.5840937342382776,0.711155731688732,-0.06030618314452186,0.8224723541572361,0.9373189034154887,0.7598820254890779,0.006682062028807256,0.4940241467325589,0.19957637744386886,0.39152398931403226,0.7946699274507231,0.16539379842835042
56,-0.41070882974349715,-0.35629359407563177,-0.7005404018960096,-0.6442527133973974,-0.7087828608274638,-0.9143120800261523,-0.37486909646491173,-0.6282413642535123,-0.3765368549342821,-0.1259431208538833,0.29659952582029553,0.05963933560578997,0.32486867865356706,-0.7565574466309241,-0.214434740433399
57,-0.9089640907195693,0.19401425835150723,0.8909955005876641,-0.4479061060887427,0.08258086577352487,0.08964832408192479,0.4001978393103363,0.33715664384074223,0.6757946235459877,-0.4208009995456313,-0.07302329185205726,-0.15095695341929358,0.20544201214907967,-1.1250922374685404,-0.2233990901300723
58,-0.7364461180521283,-0.5543848464588202,-0.09439149412436035,0.16672969556632355,0.2660819420305599,0.011146054827653079,-0.0406812051305817,-0.1819810946618692,0.38627260073439923,-0.562607983804227,-0.3446484559958694,-0.2803504806946135,0.07301237511153398,0.6911680374074431,-0.2346913708818808
59,0.19423652921016135,-0.12249391851406284,0.053617174184617394,-1.2044159635144993,0.14566142737896384,0.07858181319588066,-0.366341808186869,-0.14884004788487035,-0.34904125100158756,-0.30726953947528135,-0.25261537016981284,-0.18942226530670667,-0.0015816928333517238,1.269988624259827,0.1857911438715871
60,-0.39469623003923354,0.17275026193693202,-0.2151463147472779,-0.24935328411432586,0.1664157131707991,-0.620924127745461,0.00816238364585072,0.17523666859685835,0.2435994905733598,-0.4458674981703662,-0.38397736986061887,-0.23827914202087963,-0.07512715804555288,-0.37870454025578254,-0.2347388453417845
61,0.09674080188022363,-0.4404123694891132,0.46282010629646414,-0.3146128750992547,0.5539760515110527,0.6500268613525712,-0.23757016465548322,-0.23479222093267893,-0.05264756170637022,-0.1231962856264268,-0.32559169781511904,-0.17044502040577425,-0.11294786222068466,-0.10041522190890599,0.18521835443931284
63,-0.11864474867745742,0.425555688095631,0.024098060730864634,0.07559854619080814,-0.610305006100112,0.1338543144046367,0.6302838073199487,0.4190070449529892,1.1109357436771918,-0.06688533026375307,-0.6840384876382013,-0.3110324676830192,-0.2544709505141565,-0.6233452750254925,-0.24648289601489123
65,0.6189242916577524,1.425299278942148,-0.09337935882422409,-0.5372001005243343,-0.2543885759239281,0.19208451161195073,-0.18940584360992668,0.19989043840493398,-0.43964259356618085,-0.20826259364611455,-0.7112857404081167,-0.21768613680929969,-0.34323214452442924,-0.2873937815347005,0.21369201420756745
66,-0.8514993773476689,-0.4602321508162985,-0.4847813770589541,-0.48582927576481194,-0.422112518817152,-0.3361030040620707,-0.6160679068780781,-0.621609573908972,-0.39993365273688425,-0.43442458079452156,-0.9694137025438663,-0.3560098533311,-0.384237884727609,-1.467843541711723,-0.2588557026880389
68,0.5014250795711036,0.46935502880326047,0.10394018455631711,0.7854757803318824,0.46238511667775767,-0.06390787978659114,0.4045616053244236,0.3209843751190235,0.42986554172400826,0.24633193744370502,-0.4601193847638807,0.05375805138902888,-0.26788363718749997,0.20845634637950583,0.19816163751253568
70,0.5814003853827556,0.5051487336018871,0.7501395912549959,1.433202480174152,-0.28791769588169946,0.11045891721646751,0.46855889121836314,0.550865072307761,0.599527428298871,0.15128489290298933,-0.43691254947940567,0.07747247023190945,-0.1805830737570441,-0.28279823074021543,0.19850246551644266
72,0.057996803670958615,-0.001360335390994841,-0.08573196724953602,0.47497728421055135,0.48185059192506535,0.7605506106716038,0.2204212594804249,0.08521500755321428,0.5266598040796461,0.08437570695866188,-0.3058573257517786,0.12935083659342844,-0.04801407556806455,-0.6715521906604299,0.1693563888429176
73,0.2388794740260377,-0.24901846535171623,0.23897707483915717,0.6801196920171734,0.7251777947230187,0.42228581845803936,-0.12653721667821705,0.23774674053913392,0.11849593521540609,0.0013061271867883665,-0.1995336391600491,0.17601950091604707,0.01602074221722096,1.0889567429067,0.15827655592503495
74,0.6496051572986993,-0.6616821297008758,-0.09990745934240097,0.4698477850044389,-0.25527582823779355,-0.5237568339613529,0.45954506989404786,0.4754501880825001,-0.10593057227327726,-0.039961549735165205,0.05549313859160972,0.30844091824651976,0.1102715393384638,0.4569619398493336,0.15067660686135056
75,-0.4178175096776663,0.3245206104226455,0.2611376286749809,-0.16722756400735295,0.7112185575233785,0.40663718635705715,0.6293543087694233,0.5132038489987417,0.8968450347240313,-0.1931409918127934,-0.10857000843801326,0.1497930503244516,0.1347578081858184,-0.22177759330486677,-0.19982254148916118
77,0.4620229964642696,-0.10987071015002949,1.0428221282566186,0.4680552472675365,0.9410758257793985,0.5386296976414577,1.190581306013976,1.0566746172947608,1.184790343003118,-0.37250333226947163,-0.3060943088616186,0.018857419795913224,0.05670429384100309,1.1319641976731067,0.15832142478983177
